slow_songs_or_fast_songs,dance,folk,country,classical music,musical,pop,rock,metal_or_hardrock,punk,hiphop_rap,reggae_ska,swing_jazz,rock_n_roll,alternative,latino,techno_trance,opera,horror,thriller,comedy,romantic,sci_fi,war,fantasy_Fairy_tales,animated,documentary,western,action,history,psychology,politics,mathematics,physics,internet,pc,economy,biology,chemistry,reading,geography,foreign_languages,medicine,law,cars,art_exhibitions,religion,travel,dancing,musical_instruments,writing,gardening,celebrities,shopping,science_and_technology,theatre,fun_with_friends,pets,flying,storm,darkness,heights,spiders,snakes,rats_mice,aging,dangerous_dog,public_speaking,smoking,drinking,healthy_life_style,number_siblings,gender,education,first_name,email,phone_number,train,last_name,sport,birth_year
1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,former smoker,social drinker,4,1,male,secondary school,Malachi,xxxx@gmail.com,540000000,1,Cohen,1,2001
1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,tried smoking,social drinker,4,3,male,college/bachelor degree,Yahav,xxxx@gmail.com,540000000,1,Peretz,1,2002
1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,never smoked,social drinker,5,1,male,masters degree,Yehuda ,xxxx@gmail.com,540000000,1,Staryfurman,0,1995
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,never smoked,social drinker,3,1,male,secondary school,Meir,xxxx@gmail.com,540000000,3,Peretz,1,2003
1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,current smoker,drink a lot,3,1,male,college/bachelor degree,Yehoshua ,xxxx@gmail.com,540000000,5,Cohen,0,2000
0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,tried smoking,social drinker,3,1,male,college/bachelor degree,Maor,xxxx@gmail.com,540000000,3,Levi,0,1999
1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,current smoker,social drinker,3,1,male,secondary school,Dvir,xxxx@gmail.com,540000000,3,Peretz,0,1999
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,never smoked,social drinker,5,2,male,secondary school,Elchanan,xxxx@gmail.com,540000000,4,Levi,1,1999
1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,tried smoking,social drinker,4,2,male,college/bachelor degree,Arbel,xxxx@gmail.com,540000000,7,Levi,1,2000
1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,tried smoking,social drinker,3,1,male,primary school,Asaf,xxxx@gmail.com,540000000,6,Staryfurman,0,2005
1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,tried smoking,social drinker,3,1,male,secondary school,Aryeh,xxxx@gmail.com,540000000,4,Peretz,1,2002
1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,former smoker,social drinker,3,1,male,secondary school,Itai,xxxx@gmail.com,540000000,1,Cohen,1,2005
1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,tried smoking,never,5,1,male,secondary school,Peleg,xxxx@gmail.com,540000000,5,Goldman,0,2002
1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,former smoker,social drinker,3,1,male,secondary school,Nachman,xxxx@gmail.com,540000000,8,Staryfurman,0,2001
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,tried smoking,social drinker,3,1,male,masters degree,Aviel,xxxx@gmail.com,540000000,2,Peretz,1,2000
1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,tried smoking,drink a lot,3,1,male,secondary school,Yehoshua ,xxxx@gmail.com,540000000,9,Levi,1,2002
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,tried smoking,social drinker,3,1,male,secondary school,Bnaya,xxxx@gmail.com,540000000,2,Levi,1,2004
1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,tried smoking,social drinker,3,1,male,secondary school,Elon,xxxx@gmail.com,540000000,2,Staryfurman,1,2000
0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,tried smoking,social drinker,3,2,male,college/bachelor degree,Guy,xxxx@gmail.com,540000000,3,Levi,1,2000
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,current smoker,social drinker,3,3,male,masters degree,Liam,xxxx@gmail.com,540000000,4,Staryfurman,1,1998
1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,current smoker,drink a lot,1,2,male,masters degree,Beeri,xxxx@gmail.com,540000000,3,Cohen,1,1998
1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,tried smoking,social drinker,2,1,male,secondary school,Ilay,xxxx@gmail.com,540000000,9,Cohen,0,2001
1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,tried smoking,drink a lot,1,1,male,college/bachelor degree,Re’em,xxxx@gmail.com,540000000,1,Levi,1,2001
1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,former smoker,drink a lot,1,1,male,college/bachelor degree,Yuval,xxxx@gmail.com,540000000,6,Staryfurman,0,2003
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,tried smoking,drink a lot,3,1,male,primary school,Ido,xxxx@gmail.com,540000000,3,Cohen,0,2003
1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,former smoker,drink a lot,4,1,male,secondary school,Neveh,xxxx@gmail.com,540000000,8,Staryfurman,1,2000
1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,tried smoking,social drinker,3,1,male,secondary school,Or,xxxx@gmail.com,540000000,3,Goldman,0,2004
1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,tried smoking,drink a lot,4,0,male,secondary school,Benjamin,xxxx@gmail.com,540000000,1,Levi,0,2000
1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,tried smoking,drink a lot,1,1,male,secondary school,Shachar,xxxx@gmail.com,540000000,1,Peretz,0,2001
1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,never smoked,social drinker,3,1,male,college/bachelor degree,Yehoshua ,xxxx@gmail.com,540000000,9,Goldman,0,1998
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,former smoker,social drinker,3,1,male,secondary school,Eviatar,xxxx@gmail.com,540000000,2,Levi,0,2003
0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,tried smoking,drink a lot,2,0,male,secondary school,Neriah,xxxx@gmail.com,540000000,5,Goldman,0,2004
1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,former smoker,drink a lot,4,1,male,college/bachelor degree,Asher,xxxx@gmail.com,540000000,5,Goldman,0,2001
1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,never smoked,social drinker,3,1,male,college/bachelor degree,Ari,xxxx@gmail.com,540000000,5,Peretz,0,1999
1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,never smoked,drink a lot,2,0,male,college/bachelor degree,Elroi,xxxx@gmail.com,540000000,5,Goldman,0,1999
1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,current smoker,social drinker,2,2,male,secondary school,Nitai,xxxx@gmail.com,540000000,2,Peretz,0,2001
1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,current smoker,social drinker,4,4,male,secondary school,Shai,xxxx@gmail.com,540000000,5,Goldman,1,2002
1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,former smoker,social drinker,3,2,male,primary school,Ido,xxxx@gmail.com,540000000,4,Goldman,1,2004
1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,current smoker,drink a lot,3,1,male,secondary school,Benjamin,xxxx@gmail.com,540000000,6,Goldman,0,2004
1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,never smoked,never,3,1,male,secondary school,Yehuda ,xxxx@gmail.com,540000000,1,Peretz,1,2001
1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,never smoked,social drinker,2,1,male,primary school,Moshe,xxxx@gmail.com,540000000,4,Staryfurman,0,2001
0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,never smoked,social drinker,5,1,male,secondary school,Roi,xxxx@gmail.com,540000000,6,Levi,1,2001
1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,tried smoking,never,3,1,male,secondary school,Benjamin,xxxx@gmail.com,540000000,2,Levi,1,2001
1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,never smoked,social drinker,3,2,male,secondary school,Elchanan,xxxx@gmail.com,540000000,1,Cohen,0,2004
1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,never smoked,social drinker,3,3,male,secondary school,Elon,xxxx@gmail.com,540000000,1,Cohen,0,2002
1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,tried smoking,never,2,5,male,college/bachelor degree,Shlomo,xxxx@gmail.com,540000000,2,Levi,0,2003
1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,tried smoking,never,1,1,male,secondary school,Yaakov ,xxxx@gmail.com,540000000,7,Goldman,1,2002
1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,tried smoking,drink a lot,3,2,male,college/bachelor degree,Omri,xxxx@gmail.com,540000000,7,Goldman,1,1997
1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,former smoker,drink a lot,3,1,male,college/bachelor degree,Noam,xxxx@gmail.com,540000000,1,Staryfurman,0,1998
1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,never smoked,drink a lot,3,1,male,doctorate degree,Eliav,xxxx@gmail.com,540000000,9,Staryfurman,0,1997
1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,former smoker,social drinker,2,2,male,masters degree,Lior,xxxx@gmail.com,540000000,8,Levi,0,1996
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,tried smoking,social drinker,2,1,male,secondary school,Ophir,xxxx@gmail.com,540000000,7,Staryfurman,1,2002
1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,tried smoking,social drinker,1,1,male,secondary school,Noam,xxxx@gmail.com,540000000,7,Goldman,1,2003
0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,tried smoking,social drinker,4,0,male,college/bachelor degree,Elroi,xxxx@gmail.com,540000000,9,Levi,0,2001
1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,current smoker,social drinker,4,1,male,secondary school,Harel,xxxx@gmail.com,540000000,5,Staryfurman,0,2000
1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,current smoker,social drinker,4,1,male,secondary school,Tom,xxxx@gmail.com,540000000,5,Goldman,0,2002
1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,current smoker,drink a lot,3,1,male,primary school,Yair,xxxx@gmail.com,540000000,8,Cohen,0,2001
1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,never smoked,drink a lot,4,1,male,secondary school,Roi,xxxx@gmail.com,540000000,4,Goldman,1,2003
1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,tried smoking,social drinker,2,0,male,secondary school,Mordechai,xxxx@gmail.com,540000000,8,Staryfurman,1,2002
